"o","h","l","c","v","a","date"
1.006243,1.013017,1.002366,1.006243,6029,0.400733,"1995-03-24"
1.027527,1.027527,1.027527,1.027527,0,0.40921,"1995-03-28"
1.035263,1.037197,1.020753,1.035263,5990,0.412291,"1995-03-31"
1.064292,1.064292,1.064292,1.064292,0,0.423851,"1995-04-17"
1.040103,1.040103,1.040103,1.040103,0,0.414218,"1995-04-25"
0.996564,0.996564,0.996564,0.996564,0,0.396879,"1995-05-01"
0.938515,0.938515,0.938515,0.938515,4503,0.373761,"1995-08-02"
0.935609,0.939477,0.934638,0.935609,579957,0.372604,"1995-08-03"
0.936581,0.943354,0.935609,0.936581,474101,0.372991,"1995-08-04"
0.946251,0.953025,0.931741,0.946251,463965,0.376842,"1995-08-07"
0.948185,0.95593,0.934638,0.948185,450452,0.377612,"1995-08-08"
0.948185,0.950119,0.934638,0.948185,412163,0.377612,"1995-08-09"
0.957864,0.957864,0.940449,0.957864,484236,0.381467,"1995-08-10"
0.95593,0.964638,0.950119,0.95593,597975,0.380696,"1995-08-11"
0.95593,0.95593,0.95593,0.95593,0,0.380696,"1995-08-14"
0.95593,0.95593,0.95593,0.95593,0,0.380696,"1995-08-15"
0.957864,0.965601,0.957864,0.957864,407659,0.381467,"1995-08-16"
0.965601,0.965601,0.953996,0.965601,590092,0.384548,"1995-08-17"
0.948185,0.963667,0.946251,0.948185,432434,0.377612,"1995-08-18"
0.944317,0.963667,0.93077,0.944317,384010,0.376072,"1995-08-21"
0.942383,0.948185,0.932704,0.942383,334460,0.375301,"1995-08-22"
0.946251,0.948185,0.928836,0.946251,222973,0.376842,"1995-08-23"
0.915288,0.936581,0.909486,0.915288,227477,0.364511,"1995-08-25"
0.879486,0.909486,0.861107,0.879486,404281,0.350253,"1995-08-28"
0.8524,0.873683,0.84756,0.8524,784913,0.339466,"1995-08-29"
0.841758,0.86691,0.841758,0.841758,467343,0.335228,"1995-08-30"
0.814663,0.848531,0.812729,0.814663,843472,0.324437,"1995-08-31"
0.841758,0.841758,0.812729,0.841758,816444,0.335228,"1995-09-01"
0.841758,0.858202,0.839824,0.841758,333334,0.335228,"1995-09-04"
0.836918,0.848531,0.835947,0.836918,458335,0.3333,"1995-09-05"
0.851428,0.855296,0.834984,0.851428,190315,0.339079,"1995-09-06"
0.86207,0.86691,0.841758,0.86207,484236,0.343317,"1995-09-07"
0.848531,0.859173,0.846588,0.848531,228604,0.337925,"1995-09-08"
0.827239,0.848531,0.822408,0.827239,244370,0.329446,"1995-09-11"
0.830144,0.848531,0.818531,0.830144,248874,0.330602,"1995-09-12"
0.84756,0.84756,0.822408,0.84756,903157,0.337538,"1995-09-13"
0.832078,0.845626,0.82821,0.832078,582210,0.331373,"1995-09-14"
0.840786,0.841758,0.816597,0.840786,4217363,0.334841,"1995-09-15"
0.853362,0.856268,0.839824,0.853362,286036,0.339849,"1995-09-18"
0.851428,0.854334,0.849494,0.851428,511263,0.339079,"1995-09-19"
0.854334,0.855296,0.851428,0.854334,190315,0.340236,"1995-09-20"
0.835947,0.851428,0.832078,0.835947,104729,0.332914,"1995-09-21"
0.824342,0.851428,0.814663,0.824342,468470,0.328292,"1995-09-22"
0.800153,0.822408,0.77403,0.800153,409911,0.318659,"1995-09-25"
0.822408,0.831116,0.806927,0.822408,384010,0.327522,"1995-09-26"
0.826276,0.839824,0.814663,0.826276,291667,0.329062,"1995-09-27"
0.800153,0.812729,0.779832,0.800153,477479,0.318659,"1995-09-28"
0.810795,0.810795,0.75468,0.810795,608111,0.322897,"1995-09-29"
0.795313,0.8137,0.793379,0.809823,100224,0.32251,"1995-10-02"
0.787577,0.816597,0.787577,0.816597,238739,0.325207,"1995-10-03"
0.799181,0.811757,0.799181,0.80305,161036,0.319812,"1995-10-04"
0.793379,0.810795,0.793379,0.796285,61936,0.317118,"1995-10-05"
0.790474,0.80305,0.786605,0.797247,156531,0.317501,"1995-10-06"
0.796285,0.80305,0.789511,0.789511,180180,0.314421,"1995-10-09"
0.786605,0.801115,0.75468,0.768218,251127,0.305941,"1995-10-10"
0.781766,0.781766,0.758548,0.780803,217343,0.310953,"1995-10-11"
0.792408,0.797247,0.779832,0.792408,1363745,0.315574,"1995-10-12"
0.791445,0.830144,0.791445,0.804021,479731,0.320199,"1995-10-13"
0.791445,0.830144,0.791445,0.791445,336713,0.315191,"1995-10-16"
0.776926,0.809823,0.766284,0.7837,336713,0.312106,"1995-10-17"
0.7837,0.806927,0.7837,0.7837,353604,0.312106,"1995-10-18"
0.786605,0.799181,0.777898,0.777898,134008,0.309796,"1995-10-19"
0.77403,0.774992,0.756614,0.768218,335586,0.305941,"1995-10-20"
0.748869,0.76435,0.717906,0.746935,681309,0.297465,"1995-10-23"
0.75468,0.777898,0.746935,0.76435,227477,0.3044,"1995-10-24"
0.793379,0.793379,0.757585,0.759511,176802,0.302473,"1995-10-25"
0.756614,0.791445,0.756614,0.77403,257883,0.308255,"1995-10-26"
0.76435,0.779832,0.757585,0.772095,207208,0.307485,"1995-10-27"
0.77403,0.779832,0.768218,0.77403,225226,0.308255,"1995-10-30"
0.77403,0.80305,0.768218,0.80305,372749,0.319812,"1995-10-31"
0.77403,0.80305,0.768218,0.80305,1,0.319812,"1995-11-01"
0.8137,0.832078,0.8137,0.82821,11,0.329832,"1995-11-02"
0.853362,0.859173,0.841758,0.845626,11,0.336768,"1995-11-03"
0.797247,0.812729,0.790474,0.795313,8,0.316731,"1995-11-06"
0.777898,0.782737,0.775964,0.777898,1,0.309796,"1995-11-08"
0.77403,0.846588,0.772095,0.782737,7,0.311723,"1995-11-09"
0.77403,0.77403,0.756614,0.766284,4,0.30517,"1995-11-10"
0.756614,0.768218,0.75468,0.768218,3,0.305941,"1995-11-13"
0.762416,0.777898,0.75468,0.76435,2,0.3044,"1995-11-14"
0.772095,0.772095,0.751774,0.763388,5,0.304017,"1995-11-15"
0.76435,0.80305,0.76435,0.767256,1,0.305558,"1995-11-16"
0.775964,0.791445,0.768218,0.784671,5,0.312493,"1995-11-17"
0.791445,0.792408,0.780803,0.78854,1,0.314034,"1995-11-20"
0.781766,0.792408,0.760482,0.785634,5,0.312876,"1995-11-22"
0.771124,0.784671,0.771124,0.773058,1,0.307868,"1995-11-23"
0.779832,0.779832,0.757585,0.765322,1,0.304787,"1995-11-24"
0.7837,0.7837,0.75468,0.75468,1,0.300549,"1995-11-27"
0.758548,0.76435,0.745001,0.746935,1,0.297465,"1995-11-29"
0.75468,0.76435,0.735321,0.76435,5,0.3044,"1995-11-30"
0.77403,0.77403,0.746935,0.773058,6,0.307868,"1995-12-01"
0.757585,0.770153,0.750803,0.763388,5,0.304017,"1995-12-05"
0.76435,0.770153,0.758548,0.770153,5,0.306711,"1995-12-06"
0.772095,0.779832,0.753708,0.761445,5,0.303243,"1995-12-07"
0.761445,0.761445,0.761445,0.761445,0,0.303243,"1995-12-08"
0.756614,0.7837,0.756614,0.782737,6,0.311723,"1995-12-12"
0.76919,0.7837,0.76919,0.781766,7,0.311336,"1995-12-13"
0.767256,0.810795,0.765322,0.799181,1505638,0.318272,"1995-12-14"
0.791445,0.809823,0.789511,0.809823,469596,0.32251,"1995-12-15"
0.794342,0.804993,0.793379,0.799181,298424,0.318272,"1995-12-18"
0.794342,0.831116,0.794342,0.82821,457208,0.329832,"1995-12-19"
0.818531,0.845626,0.772095,0.772095,537164,0.307485,"1995-12-20"
0.793379,0.818531,0.785634,0.80305,307433,0.319812,"1995-12-21"
0.804993,0.829173,0.793379,0.82821,260135,0.329832,"1995-12-22"
0.82821,0.82821,0.82821,0.82821,0,0.329832,"1995-12-25"
0.82821,0.82821,0.82821,0.82821,0,0.329832,"1995-12-26"
0.827239,0.827239,0.811757,0.825305,147523,0.328675,"1995-12-27"
0.812729,0.836918,0.812729,0.836918,253378,0.3333,"1995-12-28"
0.832078,0.836918,0.800153,0.836918,211711,0.3333,"1995-12-29"
0.836918,0.836918,0.836918,0.836918,0,0.3333,"1996-01-01"
0.845626,0.84756,0.822408,0.84756,156531,0.337538,"1996-01-02"
0.832078,0.849494,0.832078,0.832078,208333,0.331373,"1996-01-03"
0.815634,0.845626,0.815634,0.845626,102477,0.336768,"1996-01-04"
0.824342,0.839824,0.808861,0.8137,113738,0.324054,"1996-01-05"
0.808861,0.816597,0.80305,0.816597,108107,0.325207,"1996-01-08"
0.812729,0.820465,0.801115,0.817568,384010,0.325594,"1996-01-09"
0.804021,0.812729,0.796285,0.810795,380632,0.322897,"1996-01-10"
0.800153,0.811757,0.791445,0.794342,263513,0.316344,"1996-01-11"
0.793379,0.812729,0.793379,0.812729,271396,0.323667,"1996-01-12"
0.810795,0.818531,0.807889,0.809823,1207213,0.32251,"1996-01-15"
0.816597,0.845626,0.80305,0.845626,808562,0.336768,"1996-01-16"
0.845626,0.845626,0.807889,0.807889,331082,0.32174,"1996-01-17"
0.870778,0.874655,0.841758,0.861107,86711,0.342933,"1996-01-18"
0.870778,0.909486,0.870778,0.909486,896400,0.3622,"1996-01-19"
0.883363,0.894976,0.861107,0.888193,434686,0.35372,"1996-01-22"
0.868844,0.887231,0.856268,0.873683,329956,0.347942,"1996-01-23"
0.883363,0.904646,0.873683,0.883363,435812,0.351797,"1996-01-24"
0.883363,0.894976,0.874655,0.875617,349099,0.348712,"1996-01-25"
0.869815,0.870778,0.859173,0.861107,363739,0.342933,"1996-01-26"
0.865947,0.86691,0.857239,0.861107,227477,0.342933,"1996-01-29"
0.870778,0.880457,0.864976,0.880457,426803,0.35064,"1996-01-30"
0.880457,0.909486,0.864976,0.909486,590092,0.3622,"1996-01-31"
0.91142,0.938515,0.909486,0.922062,653155,0.367209,"1996-02-01"
0.923033,0.927873,0.91142,0.917231,390767,0.365285,"1996-02-02"
0.921099,0.928836,0.903684,0.920128,337838,0.366438,"1996-02-05"
0.899807,0.957864,0.899807,0.932704,822076,0.371447,"1996-02-06"
0.938515,0.942383,0.923996,0.929807,247748,0.370293,"1996-02-07"
0.928836,0.940449,0.928836,0.938515,306307,0.373761,"1996-02-08"
0.938515,0.944317,0.932704,0.934638,694822,0.372217,"1996-02-09"
0.919165,0.941412,0.919165,0.938515,643020,0.373761,"1996-02-12"
